map{ id = "1_aaa_corrupted_save_map", description = "_corrupted_save_map" }
map{ id = "ballast_harbor/willow_palace", description = "Spruce Head Shrine" }
map{ id = "debug_room", description = "Debug Room" }
map{ id = "demo_1/boss_cave_antechamber", description = "boss cave - antechamber" }
map{ id = "demo_1/boss_cave_boss_room", description = "boss cave - boss room" }
map{ id = "demo_1/boss_cave_end", description = "boss cave end" }
map{ id = "demo_1/bow_cave_1", description = "bow cave 1" }
map{ id = "demo_1/bow_cave_2", description = "bow cave 2" }
map{ id = "demo_1/bow_cave_3", description = "seagrass charm cave" }
map{ id = "demo_1/bow_island_1", description = "bow island 1" }
map{ id = "demo_1/bow_island_2", description = "bow island 2" }
map{ id = "demo_1/bow_island_3", description = "bow island 3" }
map{ id = "demo_1/bow_island_4", description = "bow island 4" }
map{ id = "demo_1/bow_peninsula_1", description = "Bow peninsula 1" }
map{ id = "demo_1/bow_peninsula_1_cave", description = "bow peninsula 1 cave" }
map{ id = "demo_1/bow_peninsula_2", description = "Bow peninsula 2" }
map{ id = "demo_1/bow_peninsula_3", description = "bow peninsula 3" }
map{ id = "demo_1/central_area", description = "central area" }
map{ id = "demo_1/dash_cave_ext", description = "Outside dash cave" }
map{ id = "demo_1/dash_cave_int", description = "dash cave interior" }
map{ id = "demo_1/fire_bow_cave_1", description = "fire bow cave 1" }
map{ id = "demo_1/fire_bow_cave_2", description = "fire bow cave 2" }
map{ id = "demo_1/house", description = "house" }
map{ id = "demo_1/ironwood_cave_1", description = "ironwood cave 1" }
map{ id = "demo_1/ironwood_cave_2", description = "ironwood cave 2" }
map{ id = "demo_1/pier", description = "pier" }
map{ id = "demo_1/pine_head_lower", description = "lower pine head" }
map{ id = "demo_1/pine_head_test", description = "demo_1/pine_head_test" }
map{ id = "demo_1/pine_head_upper", description = "upper pine head" }
map{ id = "demo_1/plateau_1", description = "plateau 1" }
map{ id = "demo_1/plateau_2", description = "plateau 2" }
map{ id = "demo_1/plateau_3", description = "plateau 3" }
map{ id = "demo_1/plateau_upgrade_cave", description = "plateau upgrade cave" }
map{ id = "demo_1/smith_cave_1", description = "smith cave 1" }
map{ id = "demo_1/sw_above_lift_cave", description = "sw screen above lift cave" }
map{ id = "demo_1/sw_hidden_isle", description = "sw hidden isle" }
map{ id = "demo_1/sw_lift_cave", description = "SW - lifting cave" }
map{ id = "demo_1/sw_lift_cave_interior", description = "Lift cave interior" }
map{ id = "demo_1/test_town", description = "test town" }
map{ id = "demo_1/test_town_2", description = "test town 2-limestone" }
map{ id = "demo_1/testing_room", description = "testing room" }
map{ id = "demo_2/test_1", description = "test 1" }
map{ id = "dev/world_map", description = "world_map" }
map{ id = "dummy_cutscene/basswood", description = "Basswood" }
map{ id = "dummy_cutscene/blackbeard_cabin", description = "blackbeard_cabin" }
map{ id = "dummy_cutscene/hazel_oakhaven", description = "Hazel Oakhaven" }
map{ id = "dummy_cutscene/lily_pirate", description = "Lily Pirate" }
map{ id = "dummy_cutscene/limestone", description = "limestone" }
map{ id = "dummy_cutscene/limestone_scroll" }
map{ id = "dummy_cutscene/oakhaven_scroll" }
map{ id = "example_town_a", description = "example_town_a" }
map{ id = "fykonos/barrowfield", description = "Barrowfield" }
map{ id = "fykonos/beach", description = "beach" }
map{ id = "fykonos/caves/barrow_a", description = "Barrow A" }
map{ id = "fykonos/caves/barrow_b", description = "Barrow B" }
map{ id = "fykonos/caves/barrow_strength", description = "Barrow-Strength Charm" }
map{ id = "fykonos/caves/boomerang_cave", description = "Boomerang Cave" }
map{ id = "fykonos/caves/fire_arrow_cave", description = "Fire Arrow Cave" }
map{ id = "fykonos/caves/ophiras_tomb", description = "Ophira's Tomb" }
map{ id = "fykonos/caves/witchthicket_hole", description = "Witchthicket Hole" }
map{ id = "fykonos/caves/witchthicket_tree", description = "Witchthicket Tree" }
map{ id = "fykonos/interiors/lone_windmill_int", description = "Lone Windmill" }
map{ id = "fykonos/interiors/pirate_fort_inside", description = "Pirate Fort" }
map{ id = "fykonos/interiors/village/elder", description = "Elder" }
map{ id = "fykonos/interiors/village/house_a", description = "House A" }
map{ id = "fykonos/interiors/village/house_b", description = "House B" }
map{ id = "fykonos/interiors/village/inn", description = "Inn" }
map{ id = "fykonos/interiors/village/shop", description = "Shop" }
map{ id = "fykonos/interiors/west_windmill", description = "West Windmill" }
map{ id = "fykonos/intro/goatshead", description = "Goatshead" }
map{ id = "fykonos/intro/ship_below_deck", description = "Ship-Belowdeck" }
map{ id = "fykonos/intro/ship_deck", description = "Ship Deck" }
map{ id = "fykonos/lone_windmill", description = "Lone Windmill" }
map{ id = "fykonos/orange_orchard", description = "Orange Orchard" }
map{ id = "fykonos/pirate_fort", description = "Pirate Fort" }
map{ id = "fykonos/ruined_tomb", description = "Ruined Tomb" }
map{ id = "fykonos/statue_garden", description = "Statue Garden" }
map{ id = "fykonos/sunflower_field", description = "Sunflower Field" }
map{ id = "fykonos/village", description = "Village" }
map{ id = "fykonos/west_trail", description = "West Trail" }
map{ id = "fykonos/witchthicket", description = "Witchthicket" }
map{ id = "fykonos/zzz_end", description = "zzz_end" }
map{ id = "goat_hill_new_test", description = "new goat hill test" }
map{ id = "goatshead_island/ball_trail_old", description = "Ballast Trail" }
map{ id = "goatshead_island/brickabranch_island", description = "Brickabranch Island" }
map{ id = "goatshead_island/caves/ball_trail_cave", description = "Ball Trail Cave" }
map{ id = "goatshead_island/caves/brickabranch_shrine", description = "Brickabranch Shrine" }
map{ id = "goatshead_island/caves/cursed_cave", description = "CursedCave" }
map{ id = "goatshead_island/caves/cursed_void", description = "cursed void" }
map{ id = "goatshead_island/caves/goat_caverns", description = "Goat Cavern" }
map{ id = "goatshead_island/caves/hill_cave", description = "Goat Hill Cave" }
map{ id = "goatshead_island/caves/hill_cave_2", description = "Goat Hill Cave 2" }
map{ id = "goatshead_island/caves/lighthouse", description = "Lighthouse" }
map{ id = "goatshead_island/caves/poplar_forest_cave", description = "Poplar Forest Cave" }
map{ id = "goatshead_island/caves/spruce_head_cave", description = "spruce head cave" }
map{ id = "goatshead_island/caves/strength_charm", description = "Strength Charm Cave" }
map{ id = "goatshead_island/caves/thrush_fort", description = "Thrush Fort" }
map{ id = "goatshead_island/crabhook_village", description = "Crabhook Village" }
map{ id = "goatshead_island/cursed_temple", description = "Cursed Temple" }
map{ id = "goatshead_island/goat_hill" }
map{ id = "goatshead_island/goat_hill_OLD", description = "OLDgoat hill" }
map{ id = "goatshead_island/goatshead_harbor", description = "Goatshead Harbor" }
map{ id = "goatshead_island/goatshead_harbor_OLD", description = "OLD Goatshead Harbor" }
map{ id = "goatshead_island/interiors/CV_arni", description = "Crabhook - Arni" }
map{ id = "goatshead_island/interiors/CV_dusit", description = "Dusit" }
map{ id = "goatshead_island/interiors/CV_tavern", description = "Crabhook Tavern" }
map{ id = "goatshead_island/interiors/CV_witch", description = "Crabhook - Witch" }
map{ id = "goatshead_island/interiors/alchemist", description = "Alchemist" }
map{ id = "goatshead_island/interiors/armorer", description = "armorer" }
map{ id = "goatshead_island/interiors/brute_hq", description = "Brute Squad HQ" }
map{ id = "goatshead_island/interiors/cv_shop", description = "CV Shop" }
map{ id = "goatshead_island/interiors/flower_shop", description = "Flower Shop" }
map{ id = "goatshead_island/interiors/inn", description = "Juneberry Inn" }
map{ id = "goatshead_island/interiors/merchant_hq", description = "Merchant HQ" }
map{ id = "goatshead_island/interiors/poplar_shack", description = "Poplar Shack" }
map{ id = "goatshead_island/interiors/rilesdorf_mercantile", description = "Rilesdorf Mercantile Exchange" }
map{ id = "goatshead_island/interiors/sodden_cormorant", description = "Sodden Cormorant" }
map{ id = "goatshead_island/interiors/spruce_hut", description = "Spruce Hut" }
map{ id = "goatshead_island/interiors/squid_house", description = "Phantom Squid's House" }
map{ id = "goatshead_island/interiors/tunnels", description = "Goatshead Tunnels" }
map{ id = "goatshead_island/interiors/warehouse", description = "Bart's Warhouse" }
map{ id = "goatshead_island/lighthouse_cape_old", description = "Lighthouse Cape" }
map{ id = "goatshead_island/merchant_hq_ext_old", description = "Merchant HQ Ext." }
map{ id = "goatshead_island/poplar_coast_old", description = "Poplar Coast" }
map{ id = "goatshead_island/poplar_forest_old", description = "Poplar Forest" }
map{ id = "goatshead_island/riverbank", description = "Riverbank" }
map{ id = "goatshead_island/spruce_head_shrine/spruce_head_shrine", description = "Spruce Head Shrine" }
map{ id = "goatshead_island/west_goat_old", description = "West Goat" }
map{ id = "grass_template_blue", description = "Blue Grass Template" }
map{ id = "grass_template_green", description = "grass template" }
map{ id = "grass_template_yellow", description = "Grass Template 2" }
map{ id = "heron_door_test_room", description = "Heron Door Test Room" }
map{ id = "indoor_house_template", description = "Indoor House Template" }
map{ id = "indoor_template", description = "Temple/Cave Template" }
map{ id = "isle_of_storms/isle_of_storms_landing", description = "Landing Area" }
map{ id = "isle_of_storms/palace", description = "Palace" }
map{ id = "isle_of_storms/test", description = "Test" }
map{ id = "new_limestone/basswood_tavern", description = "Basswood Tavern" }
map{ id = "new_limestone/bracken_beach", description = "Bracken Beach" }
map{ id = "new_limestone/cave_1", description = "Cave 1" }
map{ id = "new_limestone/caves/pit", description = "pit" }
map{ id = "new_limestone/hazel", description = "Hazel" }
map{ id = "new_limestone/juglan", description = "Juglan" }
map{ id = "new_limestone/limestone_fire", description = "FIRE!" }
map{ id = "new_limestone/limestone_present", description = "Limestone Island Present" }
map{ id = "new_limestone/new_limestone_island", description = "New Limestone Island" }
map{ id = "new_limestone/sanctuary", description = "Sanctuary" }
map{ id = "new_limestone/stash", description = "Stash Cave" }
map{ id = "new_limestone/tavern_present", description = "Tavern Present" }
map{ id = "new_limestone/tavern_up_present", description = "Tavern Present-Upstairs" }
map{ id = "new_limestone/tavern_upstairs", description = "Tavern Upstairs" }
map{ id = "new_limestone/tim", description = "Tim" }
map{ id = "new_limestone/transition", description = "transition" }
map{ id = "oakhaven/caves/abyss", description = "Abyss" }
map{ id = "oakhaven/caves/abyss_arena", description = "Abyss Arena" }
map{ id = "oakhaven/caves/amalenchier_tomb", description = "Amalenchier's Tomb" }
map{ id = "oakhaven/caves/ancient_grove", description = "Ancient Grove" }
map{ id = "oakhaven/caves/beach_cave", description = "Beach Cave" }
map{ id = "oakhaven/caves/eastoak_coral_ore_cave", description = "Eastoak Coral Ore Cave" }
map{ id = "oakhaven/caves/eastoak_health_shrine", description = "Eastoak Health Shrine" }
map{ id = "oakhaven/caves/lighthouse", description = "Lighthouse - Sinking" }
map{ id = "oakhaven/caves/llama_grove", description = "Llama Grove" }
map{ id = "oakhaven/caves/mangrove_tree", description = "Mangrove Tree" }
map{ id = "oakhaven/caves/manna_oak_tunnels", description = "Manna Oak Tunnels" }
map{ id = "oakhaven/caves/marblecliff_NE_cave", description = "Marblecliff NE Cave" }
map{ id = "oakhaven/caves/marblecliff_elixer_spirit", description = "Marblecliff-ElixerSpirit" }
map{ id = "oakhaven/caves/marblecliff_ruins", description = "Marblecliff Ruins" }
map{ id = "oakhaven/caves/palace_tunnel", description = "Palace Tunnel" }
map{ id = "oakhaven/caves/port_bush_hole", description = "Port Bush Hole" }
map{ id = "oakhaven/caves/port_bush_hole_2", description = "Port Bush Hole 2" }
map{ id = "oakhaven/caves/saltpeter_mines", description = "Saltpeter Mine" }
map{ id = "oakhaven/caves/seabird_shrine_marblecliff", description = "Seabird Shrine Marblecliff" }
map{ id = "oakhaven/caves/sunken_palace_shrine_end", description = "Sunken Palace Shrine End" }
map{ id = "oakhaven/caves/tungsten_cave", description = "Tungsten Cave" }
map{ id = "oakhaven/caves/umber_lake", description = "Lake Umber" }
map{ id = "oakhaven/caves/veilwood_health_upgrade_tunnel", description = "Veilwood Health Upgrade Tunnel" }
map{ id = "oakhaven/caves/westoak_shrine", description = "Westoak Shrine" }
map{ id = "oakhaven/caves/westoak_warp_cave", description = "Westoak Warp Cave" }
map{ id = "oakhaven/eastoak", description = "Eastoak" }
map{ id = "oakhaven/eastoak_OLD", description = "Eastoak_OLD" }
map{ id = "oakhaven/fort_crow/basement", description = "Basement" }
map{ id = "oakhaven/fort_crow/courtyard", description = "Courtyard" }
map{ id = "oakhaven/fort_crow/dandelion_charm", description = "Dendelion Charm Area" }
map{ id = "oakhaven/fort_crow/fort_crow", description = "Fort Crow" }
map{ id = "oakhaven/fort_crow/furnace_area", description = "Furnace Area" }
map{ id = "oakhaven/fort_crow/tower", description = "Tower" }
map{ id = "oakhaven/gull_rock", description = "Gull Rock" }
map{ id = "oakhaven/interiors/apothecary", description = "Apothecary" }
map{ id = "oakhaven/interiors/aubrey", description = "aubrey" }
map{ id = "oakhaven/interiors/bakery", description = "bakery" }
map{ id = "oakhaven/interiors/blacksmith", description = "blacksmith" }
map{ id = "oakhaven/interiors/bomb_shop", description = "Bomb Shop" }
map{ id = "oakhaven/interiors/burglar_hideout", description = "Burglar Hideout" }
map{ id = "oakhaven/interiors/carpenter", description = "Carpenter" }
map{ id = "oakhaven/interiors/cave_house", description = "Cave house" }
map{ id = "oakhaven/interiors/eastoak_farm", description = "Eastoak Farm" }
map{ id = "oakhaven/interiors/game_hall", description = "Game Hall" }
map{ id = "oakhaven/interiors/general_store", description = "General Store" }
map{ id = "oakhaven/interiors/guard_hq", description = "Guard HQ" }
map{ id = "oakhaven/interiors/haunted_house", description = "Haunted House" }
map{ id = "oakhaven/interiors/hornwart_inn", description = "Hornwart Inn" }
map{ id = "oakhaven/interiors/library", description = "Library" }
map{ id = "oakhaven/interiors/library2", description = "library" }
map{ id = "oakhaven/interiors/melinda", description = "Melinda" }
map{ id = "oakhaven/interiors/monastery", description = "Monastery" }
map{ id = "oakhaven/interiors/palace", description = "Palace" }
map{ id = "oakhaven/interiors/port_office", description = "Port Office" }
map{ id = "oakhaven/interiors/port_shop", description = "Port Shop" }
map{ id = "oakhaven/interiors/port_underground", description = "Port Underground" }
map{ id = "oakhaven/interiors/port_warehouse", description = "Port Warehouse" }
map{ id = "oakhaven/interiors/saloon", description = "Salamander Heartache" }
map{ id = "oakhaven/interiors/sculptor", description = "sculptor" }
map{ id = "oakhaven/interiors/shipwright", description = "Shipwright" }
map{ id = "oakhaven/interiors/shipyard_gallery", description = "Shipyard Gallery" }
map{ id = "oakhaven/interiors/tailor", description = "Tailor" }
map{ id = "oakhaven/interiors/thorn_monk_hut", description = "Thorn Monk Hut" }
map{ id = "oakhaven/interiors/wall_jail", description = "Wall Jail" }
map{ id = "oakhaven/ivystump", description = "Ivystump Village" }
map{ id = "oakhaven/ivystump_interiors/crab_cave", description = "Crab Cave" }
map{ id = "oakhaven/ivystump_interiors/inn", description = "Inn" }
map{ id = "oakhaven/ivystump_interiors/lamia", description = "Lamia's House" }
map{ id = "oakhaven/ivystump_interiors/sawmill", description = "Sawmill" }
map{ id = "oakhaven/ivystump_interiors/shop", description = "Shop" }
map{ id = "oakhaven/ivystump_port", description = "Ivystump Port" }
map{ id = "oakhaven/lobb_trail", description = "Lobb Trail" }
map{ id = "oakhaven/marble_summit", description = "Marble Summit" }
map{ id = "oakhaven/marblecliff", description = "Marblecliff" }
map{ id = "oakhaven/marblecliff_OLD", description = "OLDMarblecliff" }
map{ id = "oakhaven/oakhaven", description = "OakhavenCity" }
map{ id = "oakhaven/oakhaven_old", description = "OLDhaven" }
map{ id = "oakhaven/palace_gardens", description = "Palace Gardens" }
map{ id = "oakhaven/palace_gardens_chase_sequence", description = "Palace Gardens-Chase" }
map{ id = "oakhaven/poison_grove", description = "Poison Grove" }
map{ id = "oakhaven/port", description = "Port" }
map{ id = "oakhaven/port_OLD", description = "OLDPort" }
map{ id = "oakhaven/sunken_lighthouse", description = "Sunken Lighthouse" }
map{ id = "oakhaven/sunken_palace", description = "Sunken Palace" }
map{ id = "oakhaven/veilwood", description = "Veilwood" }
map{ id = "oakhaven/waterfall_canyon_old", description = "Waterfall Canyon" }
map{ id = "oakhaven/west_coast_old", description = "West Coast" }
map{ id = "oakhaven/west_oak", description = "Westoak" }
map{ id = "oceanset_outdoors_example", description = "OceanSet Outdoors Example" }
map{ id = "redpine_test", description = "Redpine Test" }
map{ id = "respawn_map", description = "blank room - leave empty" }
map{ id = "snapmast_reef/caves/coral_cave", description = "Coral Cave" }
map{ id = "snapmast_reef/caves/elixer_upgrade_tower", description = "Elixer Upgrade Tower" }
map{ id = "snapmast_reef/caves/health_ship", description = "Health Ship" }
map{ id = "snapmast_reef/caves/lighthouse", description = "Lighthouse" }
map{ id = "snapmast_reef/caves/smoldering_rock", description = "Smoldering Rock" }
map{ id = "snapmast_reef/cemetery_of_the_waves/blackbeard_cabin", description = "Blackbeard Cabin" }
map{ id = "snapmast_reef/cemetery_of_the_waves/shipwreck_chain", description = "shipwreck-chain:Main Dungeon" }
map{ id = "snapmast_reef/cemetery_of_the_waves/test", description = "test" }
map{ id = "snapmast_reef/drowned_village", description = "Drowned Village" }
map{ id = "snapmast_reef/smoldering_rock", description = "Smoldering Rock" }
map{ id = "snapmast_reef/snapmast_landing", description = "Landing Area" }
map{ id = "snapmast_reef/snapmast_lighthouse", description = "Snapmast Lighthouse" }
map{ id = "stonefell_crossroads/TEMP", description = "TEMP" }
map{ id = "stonefell_crossroads/caves/ancient_grove", description = "Ancient Grove" }
map{ id = "stonefell_crossroads/caves/ancient_shrine", description = "AncientGroveShrine" }
map{ id = "stonefell_crossroads/caves/ballast_cave", description = "BallastCave" }
map{ id = "stonefell_crossroads/caves/fort_crow_coral_cave", description = "Fort Crow Coral Cave" }
map{ id = "stonefell_crossroads/caves/helpful_cave", description = "Helpful Cave" }
map{ id = "stonefell_crossroads/caves/stonefell_bombcave_1", description = "Stonefell Bombcave" }
map{ id = "stonefell_crossroads/caves/sycamore_bombcave", description = "Sycamore Bombcave" }
map{ id = "stonefell_crossroads/caves/yarrow_chart_cave", description = "YarrowChartCave" }
map{ id = "stonefell_crossroads/crow_arena", description = "Crow Arena" }
map{ id = "stonefell_crossroads/crow_road", description = "Crow Road" }
map{ id = "stonefell_crossroads/forest_of_tides", description = "Forest of Tides" }
map{ id = "stonefell_crossroads/fort_crow", description = "Fort Crow" }
map{ id = "stonefell_crossroads/lotus_shoal", description = "Lotus Shoal" }
map{ id = "stonefell_crossroads/spruce_head", description = "Spruce Head" }
map{ id = "stonefell_crossroads/stonefell_crossroads", description = "Sonefell Crossroads" }
map{ id = "stonefell_crossroads/sycamore_ferry", description = "Sycamore Ferry" }
map{ id = "stonefell_crossroads/zephyr_bay", description = "Zephyr Bay" }
map{ id = "test-rockcliffs", description = "test rock cliffs" }
map{ id = "test_island", description = "test_island" }
map{ id = "test_island_2", description = "test_island_2" }
map{ id = "tests/flintneedle", description = "flintneeds" }
map{ id = "tests/pagoda", description = "pagoda" }
map{ id = "tests/yarnopolis", description = "yarnopolis" }

tileset{ id = "abysphere_ruins", description = "Abysphere Ruins" }
tileset{ id = "bear_catacombs", description = "Bear Catacombs" }
tileset{ id = "bear_catacombs_cave", description = "BearCatacombs-Cave" }
tileset{ id = "boatdeck", description = "Boatdeck" }
tileset{ id = "boulderfield", description = "Boulderfield" }
tileset{ id = "cave_2", description = "cave-mine" }
tileset{ id = "cemetery_of_waves", description = "CemeteryOfTheWaves" }
tileset{ id = "dapple", description = "Dappled Light" }
tileset{ id = "drygrass", description = "Drygrass" }
tileset{ id = "flintneedle", description = "Flintneedle" }
tileset{ id = "fort_crow_walls", description = "Fort Crow Walls" }
tileset{ id = "indoors_cabin", description = "Indoors - Cabin" }
tileset{ id = "indoors_stone", description = "indoors - stone" }
tileset{ id = "limestone", description = "Limestone" }
tileset{ id = "misc", description = "misc tiles" }
tileset{ id = "mykonos", description = "Mykonos" }
tileset{ id = "oceanheart_outdoors_1", description = "Overworld" }
tileset{ id = "oceanheart_outdoors_spring", description = "Overworld-Spring" }
tileset{ id = "oceanset_cave", description = "Oceanset-Cave" }
tileset{ id = "oceanset_inside", description = "Oceanset-Inside" }
tileset{ id = "oceanset_outside", description = "Oceanset-Outside" }
tileset{ id = "overworld_oakhaven", description = "Overworld-Oakhaven" }
tileset{ id = "overworld_yarrowmouth", description = "Overworld-Yarrowmouth" }
tileset{ id = "palace_of_storms", description = "Palace of Storms" }
tileset{ id = "pirate_overworld_test", description = "pirate_test1" }
tileset{ id = "redpine_forest", description = "Redpine Forest" }
tileset{ id = "spruce_head", description = "Spruce Head" }
tileset{ id = "stone_heads", description = "Stone Heads" }
tileset{ id = "stump_interior", description = "Stump Interior" }
tileset{ id = "temple", description = "temple" }
tileset{ id = "temple_2", description = "Ancient Temple" }
tileset{ id = "treasure", description = "Treasure" }
tileset{ id = "tundra", description = "Tundra" }
tileset{ id = "underwater_plants", description = "Underwater Plants" }
tileset{ id = "vault_walls", description = "Vault Walls" }
tileset{ id = "waves", description = "Waves" }
tileset{ id = "yarnopolis", description = "Yarnopolis" }

sprite{ id = "console/cursor", description = "cursor" }
sprite{ id = "console/icons", description = "icons" }
sprite{ id = "enemies/bosses/abyss_beast", description = "Abyss Beast" }
sprite{ id = "enemies/bosses/abyss_beast_faces", description = "AbyssBeast-Faces" }
sprite{ id = "enemies/bosses/abyss_beast_ghost", description = "Abyss Beast Ghost" }
sprite{ id = "enemies/bosses/abyss_beast_ring", description = "AbyssBeast-Ring" }
sprite{ id = "enemies/bosses/abyss_beast_teleport_flash", description = "Abyss Beast Teleport Flash" }
sprite{ id = "enemies/bosses/assassinbeard", description = "Assassinbeard" }
sprite{ id = "enemies/bosses/aubrey", description = "Aubrey" }
