text{ key = "action.back", value = "Atrás" }
text{ key = "item_desc.potion_stoneskin.1", value = "Poción de pielpétrea: recibe la mitad de daño durante 4 min." }
text{ key = "item_desc.unattainable_collectable.1", value = "" }
text{ key = "key1.false", value = "sub 1 is bad" }
text{ key = "key1.true", value = "sub 1 is good" }
text{ key = "key2.false", value = "I think so" }
text{ key = "key2.true", value = "really?" }
text{ key = "location.abyss", value = "El Abismo" }
text{ key = "location.amalenchier_tomb", value = "Tumba de Guillomo" }
text{ key = "location.ballast_harbor", value = "Puerto Lastre" }
text{ key = "location.bear_catacombs", value = "Catacumbas de los Guerreros Oso" }
text{ key = "location.council_building", value = "Puesto de avanzada pirata" }
text{ key = "location.crabhook_village", value = "Aldea Ganchocangrejo" }
text{ key = "location.cursed_temple", value = "Templo maldito" }
text{ key = "location.drowned_village", value = "La Aldea Sumergida" }
text{ key = "location.eastoak", value = "Fuerte Cuervo" }
text{ key = "location.puzzlewood", value = "El bosque Enigmático" }
text{ key = "location.forest_of_tides", value = "Bosque de las Mareas" }
text{ key = "location.fykonos", value = "Isla Ficonos" }
text{ key = "location.ghost_ship", value = "Salvación de Ceferina" }
text{ key = "location.goatshead_harbor", value = "Puerto Abrojo" }
text{ key = "location.goatshead_island", value = "Isla Abrojo" }
text{ key = "location.gull_rock", value = "Roca Gaviota" }
text{ key = "location.hourglass_fort", value = "Fuerte Reloj de arena" }
text{ key = "location.isle_of_storms", value = "Isla Tormentosa" }
text{ key = "location.ivystump", value = "Aldea Hiedratocón" }
text{ key = "location.kingsdown", value = "Isla Reybajo" }
text{ key = "location.lighthouse", value = "Faro derruido" }
text{ key = "location.limestone_island", value = "Isla Caliza" }
text{ key = "location.limestone_present", value = "Isla Caliza" }
text{ key = "location.lobb_trail", value = "Estrecho Espinoso" }
text{ key = "location.lotus_shoal", value = "Atolón del Loto" }
text{ key = "location.marblecliff", value = "Montaña Acantimármol" }
text{ key = "location.naerreturn_bay", value = "Bahía Céfiro" }
text{ key = "location.oakhaven", value = "Refugiorroble" }
text{ key = "location.palace_gardens", value = "Palacio de Refugiorroble" }
text{ key = "location.palace_gardens_chase_sequence", value = "Palacio de Refugiorroble" }
text{ key = "location.poplar_coast", value = "Cabeza Pícea" }
text{ key = "location.poplar_forest", value = "Bosque de los Álamos" }
text{ key = "location.port", value = "Puerto de Refugiorroble" }
text{ key = "location.shipwreck_chain", value = "Cementerio de las Olas" }
text{ key = "location.silent_glade", value = "Claro secreto" }
text{ key = "location.silent_glade_health", value = "Tumba del último jefe" }
text{ key = "location.smoldering_rock", value = "Roca Ardiente" }
text{ key = "location.snapmast", value = "Arrecife Rompemástil" }
text{ key = "location.snapmast_landing", value = "Arrecife Rompemástil" }
text{ key = "location.spruce_head", value = "Cabeza Pícea" }
text{ key = "location.spruce_head_shrine", value = "Santuario de Cabeza Pícea" }
text{ key = "location.stonefell_crossroads", value = "Cruce de Colinapétrea" }
text{ key = "location.sunken_palace", value = "Palacio hundido" }
text{ key = "location.tern_marsh", value = "Ciénaga Charrán" }
text{ key = "location.thrush_fort", value = "Tumba de Pinzón" }
text{ key = "location.umber_lake", value = "Lago Ocre"}
text{ key = "location.veilwood", value = "Bosquevelado" }
text{ key = "location.west_coast", value = "Roble Oeste" }
text{ key = "location.willow_palace", value = "Palacio Sauce" }
text{ key = "location.yarrowmouth", value = "Bocamilenrama" }
text{ key = "location.yarrowmouth_village", value = "Aldea Bocamilenrama" }
text{ key = "location.zephyr_bay", value = "Bahía Céfiro" }
text{ key = "menu.map.limestone", value = "CALIZA" }
text{ key = "menu.map.ballast_harbor", value = "PUERTO\\nLASTRE" }
text{ key = "menu.map.zephyr_bay", value = "BOSQUE\\nDE LAS MAREAS" }
text{ key = "menu.map.goatshead", value = "ABROJO" }
text{ key = "menu.map.crabhook", value = "GANCHOCANGREJO" }
text{ key = "menu.map.lotus_shoal", value = "ATOLÓN\\nDEL LOTO" }
text{ key = "menu.map.spruce_head", value = "CABEZA\\nPÍCEA" }
text{ key = "menu.map.fort_crow", value = "FUERTE\\nCUERVO" }
text{ key = "menu.map.tern_marsh", value = "CIÉNAGA\\nCHARRÁN" }
text{ key = "menu.map.kingsdown_isle", value = "ISLA\\nREYBAJO" }
text{ key = "menu.map.snapmast_reef", value = "ARRECIFE\\nROMPEMÁSTIL" }
text{ key = "menu.map.yarrowmouth", value = "BOCAMILENRAMA" }
text{ key = "menu.map.oakport", value = "PUERTO\\nROBLE" }
text{ key = "menu.map.oakhaven", value = "REFUGIORROBLE" }
text{ key = "menu.map.ivystump", value = "HIEDRATOCÓN" }
text{ key = "menu.map.marblecliff", value = "ACANTIMÁRMOL" }
text{ key = "menu.map.isle_of_storms", value = "ISLA\\nTORMENTOSA" }
text{ key = "menu.potion_expired", value = "Efecto de poción agotado" }
text{ key = "menu.quest_log.back_prompt", value = "D: Atrás" }
text{ key = "menu.quest_log.main_quests_tab", value = "Misiones\\nprincipales" }
text{ key = "menu.quest_log.no_main_quests", value = "No tienes misiones principales" }
text{ key = "menu.quest_log.no_side_quests", value = "No tienes misiones secundarias" }
text{ key = "menu.quest_log.quest_log_update", value = "Lista de misiones actualizada" }
text{ key = "menu.quest_log.quests_count", value = "Has completado $v1 de $v2" }
text{ key = "menu.quest_log.side_quests_tab", value = "Misiones\\nsecundarias" }
text{ key = "menu.quest_log.title", value = "Lista de misiones" }
text{ key = "menu.quest_update.quest_log_complete", value = "¡Misión completada!" }
text{ key = "menu.quest_update.quest_updated", value = "Lista de misiones actualizada" }
text{ key = "menu.sell.item_price", value = "%d coronas" }
text{ key = "menu.shop.item_price", value = "Precio: %2d coronas" }
text{ key = "menu.status.save", value = "Guardar" }
text{ key = "menu.status.quit", value = "Salir" }
text{ key = "menu.status.controls", value = "Controles" }
text{ key = "menu.status.music", value = "Música" }
text{ key = "menu.status.sounds", value = "Sonido" }
text{ key = "menu.status.dialog_size", value = "Tamaño texto" }
text{ key = "menu.title.cancel", value = "Cancelar" }
text{ key = "menu.title.confirm", value = "Confirmar" }
text{ key = "menu.title.continue", value = "Continuar" }
text{ key = "menu.title.demo", value = "Demo" }
text{ key = "menu.title.new_game", value = "Partida nueva" }
text{ key = "menu.title.quit", value = "Salir" }
text{ key = "menu.title.full_demo", value = "Demo completa" }
text{ key = "menu.title.beach_demo", value = "Playa" }
text{ key = "menu.title.boss_demo", value = "Jefe" }
text{ key = "menu.title.clear_save", value = "Eliminar\\nguardado" }
text{ key = "player_name", value = "Tilia" }
text{ key = "menu.status.screenshake", value = "Agitar pantalla" }
text{ key = "menu.title.corrupted_save", value = "¡Archivo de guardado corrupto!" }
text{ key = "menu.title.credits", value = "Créditos" }
text{ key = "menu.title.language", value = "Idioma" }
text{ key = "menu.title.options", value = "Opciones" }

text{ key = "menu.hud.command_effect.grab", value = "Agarrar" }
text{ key = "menu.hud.command_effect.interact", value = "Interactuar" }
text{ key = "menu.hud.command_effect.lift", value = "Levantar" }
text{ key = "menu.hud.command_effect.look", value = "Mirar" }
text{ key = "menu.hud.command_effect.next", value = "Siguiente" }
text{ key = "menu.hud.command_effect.open", value = "Abrir" }
text{ key = "menu.hud.command_effect.run", value = "Correr" }
text{ key = "menu.hud.command_effect.speak", value = "Hablar" }
text{ key = "menu.hud.command_effect.swim", value = "Nadar" }
text{ key = "menu.hud.command_effect.throw", value = "Lanzar" }

text{ key = "options.caption.press_action_change_mode", value = "Pulsa Acción para ajustar la configuración" }
text{ key = "options.caption.press_action_customize_key", value = "Pulsa Acción para configurar esta tecla" }
text{ key = "options.caption.press_key", value = "Pulsa cualquier tecla o botón" }
text{ key = "options.command.action", value = "Acción" }
text{ key = "options.command.attack", value = "Atacar" }
text{ key = "options.command.down", value = "Abajo" }
text{ key = "options.command.item_1", value = "Objeto 1" }
text{ key = "options.command.item_2", value = "Objeto 2" }
text{ key = "options.command.left", value = "Izquierda" }
text{ key = "options.command.pause", value = "Pausa" }
text{ key = "options.command.right", value = "Derecha" }
text{ key = "options.command.up", value = "Arriba" }
text{ key = "options.command.prev_item", value = "Menú anterior" }
text{ key = "options.command.menu_1", value = "Inventario" }
text{ key = "options.command.menu_2", value = "Lista de misiones" }
text{ key = "options.command.menu_3", value = "Mapa" }
text{ key = "options.command.menu_4", value = "Opciones" }
text{ key = "options.command.prev_menu", value = "Menú anterior" }
text{ key = "options.command.next_menu", value = "Menú siguiente" }
text{ key = "options.command.next_item", value = "Menú siguiente" }
text{ key = "options.commands_column", value = "Comando" }
text{ key = "options.joypad_column", value = "Mando" }
text{ key = "options.keyboard_column", value = "Teclado" }

text{ key = "selection_menu.options.fullscreen", value = "Pantalla completa" }
text{ key = "selection_menu.options.fullscreen_false", value = "Desactivado" }
text{ key = "selection_menu.options.fullscreen_true", value = "Activado" }

text{ key = "menu.status.stats.armor_level", value = "Nivel de armadura" }
text{ key = "menu.status.stats.bow_damage", value = "Daño de arco" }
text{ key = "menu.status.stats.sword_damage", value = "Daño de espada" }

text{ key = "menu.crafting.crafting_title", value = "Creación" }

text{ key = "menu.inventory.sewn_hud_life", value = "Vida" }
text{ key = "menu.inventory.sewn_hud_magic", value = "Magia" }
