text{ key = "action.back", value = "Zurück" }
text{ key = "item_desc.potion_burlyblade.1", value = "Kraftklingentrank – füge 4 Min. 1,5x Schaden zu" }
text{ key = "item_desc.potion_magic_restoration.1", value = "Zaubertrank – stellt deine Magie wieder her" }
text{ key = "item_desc.potion_stoneskin.1", value = "Steinhauttrank – erleide 4 Min. halben Schaden" }
text{ key = "item_desc.unattainable_collectable.1", value = "" }
text{ key = "key1.false", value = "sub 1 is bad" }
text{ key = "key1.true", value = "sub 1 is good" }
text{ key = "key2.false", value = "I think so" }
text{ key = "key2.true", value = "really?" }
text{ key = "location.abyss", value = "Der Abgrund" }
text{ key = "location.amalenchier_tomb", value = "Amalenchiers Grab" }
text{ key = "location.ballast_harbor", value = "Ballasthafen" }
text{ key = "location.bear_catacombs", value = "Bärenkrieger-Katakomben" }
text{ key = "location.council_building", value = "Piraten-Außenposten" }
text{ key = "location.crabhook_village", value = "Krabbenhaken" }
text{ key = "location.cursed_temple", value = "Verfluchter Tempel" }
text{ key = "location.drowned_village", value = "Ertrunkenes Dorf" }
text{ key = "location.eastoak", value = "Krähenfeste" }
text{ key = "location.puzzlewood", value = "Rätselwald" }
text{ key = "location.forest_of_tides", value = "Gezeitenwald" }
text{ key = "location.fykonos", value = "Insel Liffe" }
text{ key = "location.ghost_ship", value = "Zephyrines Erlösung" }
text{ key = "location.goatshead_harbor", value = "Hafen von Kitzkopf" }
text{ key = "location.goatshead_island", value = "Kitzkopfinsel" }
text{ key = "location.gull_rock", value = "Möwenstein" }
text{ key = "location.hourglass_fort", value = "Sanduhr-Feste" }
text{ key = "location.isle_of_storms", value = "Sturminsel" }
text{ key = "location.ivystump", value = "Efeustrunk" }
text{ key = "location.kingsdown", value = "Königshöhe" }
text{ key = "location.lighthouse", value = "Verfallener Leuchtturm" }
text{ key = "location.limestone_island", value = "Kalksteininsel" }
text{ key = "location.limestone_present", value = "Kalksteininsel" }
text{ key = "location.lobb_trail", value = "Meerenge der Dornen" }
text{ key = "location.lotus_shoal", value = "Lotoswatt" }
text{ key = "location.marblecliff", value = "Marmorfelsen" }
text{ key = "location.naerreturn_bay", value = "Zephir-Bucht" }
text{ key = "location.oakhaven", value = "Eichenport" }
text{ key = "location.palace_gardens", value = "Palast von Eichenport" }
text{ key = "location.palace_gardens_chase_sequence", value = "Palast von Eichenport" }
text{ key = "location.poplar_coast", value = "Fichtenhöft" }
text{ key = "location.poplar_forest", value = "Pappelwald" }
text{ key = "location.port", value = "Hafen von Eichenport" }
text{ key = "location.shipwreck_chain", value = "Friedhof der Wellen" }
text{ key = "location.silent_glade", value = "Stille Lichtung" }
text{ key = "location.silent_glade_health", value = "Grab des letzten Häuptlings" }
text{ key = "location.smoldering_rock", value = "Schwelfels" }
text{ key = "location.snapmast", value = "Knickmast-Riff" }
text{ key = "location.snapmast_landing", value = "Knickmast-Riff" }
text{ key = "location.spruce_head", value = "Fichtenhöft" }
text{ key = "location.spruce_head_shrine", value = "Schrein von Fichtenhöft" }
text{ key = "location.stonefell_crossroads", value = "Steinfall-Kreuzung" }
text{ key = "location.sunken_palace", value = "Versunkener Palast" }
text{ key = "location.tern_marsh", value = "Schwalbenmoor" }
text{ key = "location.thrush_fort", value = "Grus’ Grab" }
text{ key = "location.umber_lake", value = "Umbersee"}
text{ key = "location.veilwood", value = "Schleierwald" }
text{ key = "location.west_coast", value = "Westeiche" }
text{ key = "location.willow_palace", value = "Weidenpalast" }
text{ key = "location.yarrowmouth", value = "Garbemund" }
text{ key = "location.yarrowmouth_village", value = "Dorf Garbemund" }
text{ key = "location.zephyr_bay", value = "Zephir-Bucht" }
text{ key = "menu.map.limestone", value = "KALKSTEIN" }
text{ key = "menu.map.ballast_harbor", value = "BALLAST-\\nHAFEN" }
text{ key = "menu.map.zephyr_bay", value = "GEZEITEN-\\nWALD" }
text{ key = "menu.map.goatshead", value = "KITZKOPF" }
text{ key = "menu.map.crabhook", value = "KRABBENHAKEN" }
text{ key = "menu.map.lotus_shoal", value = "LOTOS-\\nWATT" }
text{ key = "menu.map.spruce_head", value = "FICHTEN-\\nHÖFT" }
text{ key = "menu.map.fort_crow", value = "KRÄHEN-\\nFESTE" }
text{ key = "menu.map.tern_marsh", value = "SCHWALBEN-\\nMOOR" }
text{ key = "menu.map.kingsdown_isle", value = "KÖNIGS-\\nHÖHE" }
text{ key = "menu.map.snapmast_reef", value = "KNICKMAST-\\nRIFF" }
text{ key = "menu.map.yarrowmouth", value = "GARBEMUND" }
text{ key = "menu.map.oakport", value = "EICHEN-\\nHAFEN" }
text{ key = "menu.map.oakhaven", value = "EICHENPORT" }
text{ key = "menu.map.ivystump", value = "EFEUSTRUNK" }
text{ key = "menu.map.marblecliff", value = "MARMORFELSEN" }
text{ key = "menu.map.isle_of_storms", value = "STURM-\\nINSEL" }
text{ key = "menu.potion_expired", value = "Wirkung des Trankes erloschen" }
text{ key = "menu.quest_log.back_prompt", value = "D: Zurück" }
text{ key = "menu.quest_log.main_quests_tab", value = "Haupt-\\naufgaben" }
text{ key = "menu.quest_log.no_main_quests", value = "Du hast keine Hauptaufgaben" }
text{ key = "menu.quest_log.no_side_quests", value = "Du hast keine Nebenaufgaben" }
text{ key = "menu.quest_log.quest_log_update", value = "Aufgabenbuch aktualisiert" }
text{ key = "menu.quest_log.quests_count", value = "$v1 von $v2 abgeschlossen" }
text{ key = "menu.quest_log.side_quests_tab", value = "Neben-\\naufgaben" }
text{ key = "menu.quest_log.title", value = "Aufgabenbuch" }
text{ key = "menu.quest_update.quest_log_complete", value = "Aufgabe abgeschlossen!" }
text{ key = "menu.quest_update.quest_updated", value = "Aufgabenbuch aktualisiert" }
text{ key = "menu.sell.item_price", value = "%d Kronen" }
text{ key = "menu.shop.item_price", value = "Preis: %2d Kronen" }
text{ key = "menu.status.save", value = "Speichern" }
text{ key = "menu.status.quit", value = "Beenden" }
text{ key = "menu.status.controls", value = "Steuerung" }
text{ key = "menu.status.music", value = "Musik" }
text{ key = "menu.status.sounds", value = "Geräusche" }
text{ key = "menu.status.dialog_size", value = "Dialoggröße" }
text{ key = "menu.title.cancel", value = "Abbrechen" }
text{ key = "menu.title.confirm", value = "Bestätigen" }
text{ key = "menu.title.continue", value = "Weiter" }
text{ key = "menu.title.demo", value = "Demo" }
text{ key = "menu.title.new_game", value = "Neues Spiel" }
text{ key = "menu.title.quit", value = "Beenden" }
text{ key = "menu.title.full_demo", value = "Volle Demo" }
text{ key = "menu.title.beach_demo", value = "Strand" }
text{ key = "menu.title.boss_demo", value = "Boss" }
text{ key = "menu.title.clear_save", value = "Speicherdaten\\nlöschen" }
text{ key = "player_name", value = "Tilia" }
text{ key = "menu.status.screenshake", value = "Bildschirmrütteln" }
text{ key = "menu.title.corrupted_save", value = "Beschädigte Speicherdatei!" }
text{ key = "menu.title.credits", value = "Credits" }
text{ key = "menu.title.language", value = "Sprache" }
text{ key = "menu.title.options", value = "Optionen" }

text{ key = "menu.hud.command_effect.grab", value = "Ergreifen" }
text{ key = "menu.hud.command_effect.interact", value = "Interagieren" }
text{ key = "menu.hud.command_effect.lift", value = "Hochheben" }
text{ key = "menu.hud.command_effect.look", value = "Ansehen" }
text{ key = "menu.hud.command_effect.next", value = "Weiter" }
text{ key = "menu.hud.command_effect.open", value = "Öffnen" }
text{ key = "menu.hud.command_effect.run", value = "Laufen" }
text{ key = "menu.hud.command_effect.speak", value = "Sprechen" }
text{ key = "menu.hud.command_effect.swim", value = "Schwimmen" }
text{ key = "menu.hud.command_effect.throw", value = "Werfen" }

text{ key = "options.caption.press_action_change_mode", value = "Aktionstaste drücken, um Einstellung anzupassen" }
text{ key = "options.caption.press_action_customize_key", value = "Aktionstaste drücken, um diese Taste zu konfigurieren" }
text{ key = "options.caption.press_key", value = "Beliebige Taste drücken" }
text{ key = "options.command.action", value = "Aktion" }
text{ key = "options.command.attack", value = "Angriff" }
text{ key = "options.command.down", value = "Runter" }
text{ key = "options.command.item_1", value = "Gegenstand 1" }
text{ key = "options.command.item_2", value = "Gegenstand 2" }
text{ key = "options.command.left", value = "Links" }
text{ key = "options.command.pause", value = "Pause" }
text{ key = "options.command.right", value = "Rechts" }
text{ key = "options.command.up", value = "Hoch" }
text{ key = "options.command.prev_item", value = "Voriges Menü" }
text{ key = "options.command.menu_1", value = "Inventarmenü" }
text{ key = "options.command.menu_2", value = "Aufgabenbuch" }
text{ key = "options.command.menu_3", value = "Kartenmenü" }
text{ key = "options.command.menu_4", value = "Optionsmenü" }
text{ key = "options.command.prev_menu", value = "Vorheriges Menü" }
text{ key = "options.command.next_menu", value = "Nächstes Menü" }
text{ key = "options.command.next_item", value = "Nächstes Menü" }
text{ key = "options.commands_column", value = "Befehl" }
text{ key = "options.joypad_column", value = "Gamepad" }
text{ key = "options.keyboard_column", value = "Tastatur" }

text{ key = "selection_menu.options.fullscreen", value = "Vollbild" }
text{ key = "selection_menu.options.fullscreen_false", value = "Deaktiviert" }
text{ key = "selection_menu.options.fullscreen_true", value = "Aktiviert" }

text{ key = "menu.status.stats.armor_level", value = "Rüstungslevel" }
text{ key = "menu.status.stats.bow_damage", value = "Bogenschaden" }
text{ key = "menu.status.stats.sword_damage", value = "Schwertschaden" }

text{ key = "menu.crafting.crafting_title", value = "Fertigung" }

text{ key = "menu.inventory.sewn_hud_life", value = "Leben" }
text{ key = "menu.inventory.sewn_hud_magic", value = "Magie" }
